;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;ALARMS
 
;Analog Alarms
;Analog A,Tagname,HandshakeTagName,HandshakeAutoReset,Acktagname,AckAutoreset,Deadbandvalue,DeadbandType,Outofalarmlabel,AlarmIdentification,Ack File Msg,Ack Printer Message, Ack Message Source,Out of Alm file msg,Out of Alm printer msg,Out of Alm Message Source ,Thresh1 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh2 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh3 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh4 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh5 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh6 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh7 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh8 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,
 
;Digital Alarms
;Digital D,Tagname,type,Label,Severity,Message Source,File msg,Printer msg,Out of alm msg source,Out Of alm File msg,Out of alm Printer msg,Ack msg source,Ack File msg,Ack Printer msg,Alarm Identify,Out of alm label,Ack Tag Name,Ack Auto Reset,Handshake Tag Name,Handshake Auto Reset
"D","Sucrose\ALM_LATCH_CIP_1_COMMERROR","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_CIP_2_COMMERROR","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_CIP_3_COMMERROR","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_01_01","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_01_02","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_01_04","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_01_05","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_02_01","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_02_02","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_02_04","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_02_05","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_03_01","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_03_02","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_03_04","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_03_05","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_04_04","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_23_04_05","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_61_01_01","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_61_01_02","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_61_02_01","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_61_02_02","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_61_03_01","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_61_03_02","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_61_04_01","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_61_04_02","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_61_04_04","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_62_01_01","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_62_01_02","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_62_01_03","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_62_01_04","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_FV_62_01_05","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_HEADER_HIGH_PRESSURE","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_HEADER_LOW_FLOW","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_HEADER_LOW_PRESSURE","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_HTR_76_01_01_HIGH_TEMP","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_HTR_76_01_01_LOW_FLOW","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_HTR_76_01_01_LOW_TEMP","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_HTR_76_02_01_HIGH_TEMP","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_HTR_76_02_01_LOW_FLOW","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_HTR_76_02_01_LOW_TEMP","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_HTR_76_03_01_HIGH_TEMP","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_HTR_76_03_01_LOW_FLOW","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_HTR_76_03_01_LOW_TEMP","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_NO_READY_TANK","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_P_23_01_01","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_P_23_01_02","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_P_62_01_01","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_PROCESS_3_4_COMMERROR","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_SUCROSE_HEADER","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_TK_23_01_01_HIGH_LEVEL","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_TK_23_01_01_HIGH_TEMP","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_TK_23_01_01_LOW_TEMP","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_TK_23_02_01_HIGH_LEVEL","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_TK_23_02_01_HIGH_TEMP","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_TK_23_02_01_LOW_TEMP","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_TK_23_03_01_HIGH_LEVEL","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_TK_23_03_01_HIGH_TEMP","ON","","1","S","","","S","","","S","","","","","","N","","N"
"D","Sucrose\ALM_LATCH_TK_23_03_01_LOW_TEMP","ON","","1","S","","","S","","","S","","","","","","N","","N"
